Año,Mes,media,minima,maxima,precipitacion,wspd,presion
2019,January,22.37741935,17.39655172,29.54166667,8.242857143,19.39655172,1010.9
2019,July,9.303225806,3.02,17.81785714,0.0,14.52903226,1019.4
2019,June,10.61,5.186206897,17.55,1.775,15.2,1016.1
2019,March,18.23870968,13.07931034,24.46071429,16.59230769,15.39677419,1016.1
2019,May,12.99032258,7.84516129,19.67096774,3.046153846,15.73548387,1016.9
2019,November,21.76666667,15.87037037,28.43636364,10.65,20.85,1011.1
2019,October,16.64516129,10.73870968,25.37307692,2.182352941,18.88709677,1014.9
2019,September,14.24333333,6.672413793,22.572,1.85,21.16666667,1017.3
2020,April,17.34666667,11.39615385,24.18181818,2.24,16.77333333,1017.2
2020,August,12.43548387,4.66,21.8,3.55,17.91290323,1017.3
2020,December,25.32083333,16.125,32.56666667,6.375,,1011.1
2020,February,21.85172414,16.75769231,28.29047619,2.725,16.68928571,1013.1
2020,January,23.40322581,17.60769231,31.14347826,8.61,18.63870968,1010.9
2020,July,7.870967742,1.467857143,15.97142857,0.0,15.24516129,1018.5
2020,June,9.503333333,2.820689655,17.69642857,0.0,15.02,1016.1
2020,March,21.98064516,16.92413793,28.44285714,2.483333333,18.70967742,1013.1
2020,May,13.55483871,6.820689655,22.99655172,0.0,14.68064516,1017.6
2020,November,23.48181818,15.10454545,30.3625,10.0,,1013.4
2020,October,18.83913043,10.87391304,24.81111111,2.428571429,,1015.8
2020,September,15.0,7.316666667,20.95625,0.0,20.78,1016.7
2021,April,19.22333333,13.08666667,24.89666667,2.576666667,18.11666667,1015.3
2021,August,14.33548387,5.648387097,21.34193548,0.187096774,16.5,1018.5
2021,December,24.51290323,17.61290323,30.89032258,4.080645161,16.88709677,1011.5
2021,February,21.83214286,15.98571429,26.63214286,3.125,13.58571429,1013.5
2021,January,23.36129032,16.9516129,28.91333333,6.793333333,18.05,1010.9
2021,July,11.10645161,3.309677419,18.86774194,0.174193548,14.48064516,1020.0
2021,June,10.42,4.61,15.92666667,0.376666667,14.1,1020.5
2021,March,20.43548387,15.12258065,25.40967742,3.070967742,14.75806452,1014.5
2021,May,13.94193548,6.45483871,21.21935484,0.722580645,14.24193548,1018.0
